max-steps=100, normalizer=0, mix-up=200, acc=0.873, c_prim=c=0.163
max-steps=100, normalizer=0, mix-up=250, acc=0.875, c_prim=c=0.162
max-steps=100, normalizer=0, mix-up=300, acc=0.873, c_prim=c=0.163
max-steps=100, normalizer=0.00001, mix-up=19, acc=0.872, c_prim=c=0.166
max-steps=100, normalizer=0.00001, mix-up=50, acc=0.878, c_prim=c=0.159
max-steps=100, normalizer=0.00001, mix-up=100, acc=0.884, c_prim=c=0.153
max-steps=100, normalizer=0.00001, mix-up=150, acc=0.884, c_prim=c=0.153
max-steps=100, normalizer=0.00001, mix-up=200, acc=0.880, c_prim=c=0.158
max-steps=100, normalizer=0.00001, mix-up=250, acc=0.881, c_prim=c=0.155
max-steps=100, normalizer=0.00001, mix-up=300, acc=0.881, c_prim=c=0.158
max-steps=100, normalizer=0.0001, mix-up=19, acc=0.878, c_prim=c=0.158
max-steps=100, normalizer=0.0001, mix-up=50, acc=0.888, c_prim=c=0.146
max-steps=100, normalizer=0.0001, mix-up=100, acc=0.888, c_prim=c=0.145
max-steps=100, normalizer=0.0001, mix-up=150, acc=0.880, c_prim=c=0.154
max-steps=100, normalizer=0.0001, mix-up=200, acc=0.884, c_prim=c=0.150
max-steps=100, normalizer=0.0001, mix-up=250, acc=0.880, c_prim=c=0.154
max-steps=100, normalizer=0.0001, mix-up=300, acc=0.878, c_prim=c=0.158
max-steps=100, normalizer=0.001, mix-up=19, acc=0.893, c_prim=c=0.141
max-steps=100, normalizer=0.001, mix-up=50, acc=0.890, c_prim=c=0.143
max-steps=100, normalizer=0.001, mix-up=100, acc=0.898, c_prim=c=0.136
max-steps=100, normalizer=0.001, mix-up=150, acc=0.891, c_prim=c=0.144
max-steps=100, normalizer=0.001, mix-up=200, acc=0.893, c_prim=c=0.142
max-steps=100, normalizer=0.001, mix-up=250, acc=0.888, c_prim=c=0.146
max-steps=100, normalizer=0.001, mix-up=300, acc=0.891, c_prim=c=0.145
max-steps=100, normalizer=0.01, mix-up=19, acc=0.890, c_prim=c=0.147
max-steps=100, normalizer=0.01, mix-up=50, acc=0.891, c_prim=c=0.147
max-steps=100, normalizer=0.01, mix-up=100, acc=0.891, c_prim=c=0.147
max-steps=100, normalizer=0.01, mix-up=150, acc=0.890, c_prim=c=0.148
max-steps=100, normalizer=0.01, mix-up=200, acc=0.890, c_prim=c=0.149
max-steps=100, normalizer=0.01, mix-up=250, acc=0.891, c_prim=c=0.146
max-steps=100, normalizer=0.01, mix-up=300, acc=0.889, c_prim=c=0.148
max-steps=120, normalizer=0, mix-up=19, acc=0.877, c_prim=c=0.159
max-steps=120, normalizer=0, mix-up=50, acc=0.878, c_prim=c=0.164
max-steps=120, normalizer=0, mix-up=100, acc=0.883, c_prim=c=0.156
max-steps=120, normalizer=0, mix-up=150, acc=0.884, c_prim=c=0.155
max-steps=120, normalizer=0, mix-up=200, acc=0.882, c_prim=c=0.156
max-steps=120, normalizer=0, mix-up=250, acc=0.880, c_prim=c=0.158
max-steps=120, normalizer=0, mix-up=300, acc=0.875, c_prim=c=0.164
max-steps=120, normalizer=0.00001, mix-up=19, acc=0.876, c_prim=c=0.162
max-steps=120, normalizer=0.00001, mix-up=50, acc=0.879, c_prim=c=0.159
max-steps=120, normalizer=0.00001, mix-up=100, acc=0.880, c_prim=c=0.159
max-steps=120, normalizer=0.00001, mix-up=150, acc=0.886, c_prim=c=0.149
max-steps=120, normalizer=0.00001, mix-up=200, acc=0.876, c_prim=c=0.160
max-steps=120, normalizer=0.00001, mix-up=250, acc=0.869, c_prim=c=0.170
max-steps=120, normalizer=0.00001, mix-up=300, acc=0.863, c_prim=c=0.178
max-steps=120, normalizer=0.0001, mix-up=19, acc=0.890, c_prim=c=0.144
max-steps=120, normalizer=0.0001, mix-up=50, acc=0.887, c_prim=c=0.147
max-steps=120, normalizer=0.0001, mix-up=100, acc=0.881, c_prim=c=0.154
max-steps=120, normalizer=0.0001, mix-up=150, acc=0.881, c_prim=c=0.155
max-steps=120, normalizer=0.0001, mix-up=200, acc=0.881, c_prim=c=0.154
max-steps=120, normalizer=0.0001, mix-up=250, acc=0.878, c_prim=c=0.160
max-steps=120, normalizer=0.0001, mix-up=300, acc=0.876, c_prim=c=0.161
max-steps=120, normalizer=0.001, mix-up=19, acc=0.894, c_prim=c=0.140
max-steps=120, normalizer=0.001, mix-up=50, acc=0.895, c_prim=c=0.138
max-steps=120, normalizer=0.001, mix-up=100, acc=0.896, c_prim=c=0.137
max-steps=120, normalizer=0.001, mix-up=150, acc=0.894, c_prim=c=0.139
max-steps=120, normalizer=0.001, mix-up=200, acc=0.893, c_prim=c=0.141
max-steps=120, normalizer=0.001, mix-up=250, acc=0.895, c_prim=c=0.138
max-steps=120, normalizer=0.001, mix-up=300, acc=0.893, c_prim=c=0.140
max-steps=120, normalizer=0.01, mix-up=19, acc=0.890, c_prim=c=0.147
max-steps=120, normalizer=0.01, mix-up=50, acc=0.890, c_prim=c=0.147
max-steps=120, normalizer=0.01, mix-up=100, acc=0.890, c_prim=c=0.148
max-steps=120, normalizer=0.01, mix-up=150, acc=0.890, c_prim=c=0.147
max-steps=120, normalizer=0.01, mix-up=200, acc=0.890, c_prim=c=0.148
max-steps=120, normalizer=0.01, mix-up=250, acc=0.891, c_prim=c=0.147
max-steps=120, normalizer=0.01, mix-up=300, acc=0.890, c_prim=c=0.148
max-steps=140, normalizer=0, mix-up=19, acc=0.872, c_prim=c=0.164
max-steps=140, normalizer=0, mix-up=50, acc=0.883, c_prim=c=0.159
max-steps=140, normalizer=0, mix-up=100, acc=0.881, c_prim=c=0.157
max-steps=140, normalizer=0, mix-up=150, acc=0.880, c_prim=c=0.158
max-steps=140, normalizer=0, mix-up=200, acc=0.880, c_prim=c=0.158
max-steps=140, normalizer=0, mix-up=250, acc=0.881, c_prim=c=0.158
max-steps=140, normalizer=0, mix-up=300, acc=0.876, c_prim=c=0.165
max-steps=140, normalizer=0.00001, mix-up=19, acc=0.879, c_prim=c=0.157
max-steps=140, normalizer=0.00001, mix-up=50, acc=0.883, c_prim=c=0.154
max-steps=140, normalizer=0.00001, mix-up=100, acc=0.872, c_prim=c=0.165
max-steps=140, normalizer=0.00001, mix-up=150, acc=0.876, c_prim=c=0.160
max-steps=140, normalizer=0.00001, mix-up=200, acc=0.870, c_prim=c=0.169
max-steps=140, normalizer=0.00001, mix-up=250, acc=0.875, c_prim=c=0.164
max-steps=140, normalizer=0.00001, mix-up=300, acc=0.879, c_prim=c=0.159
max-steps=140, normalizer=0.0001, mix-up=19, acc=0.886, c_prim=c=0.149
max-steps=140, normalizer=0.0001, mix-up=50, acc=0.887, c_prim=c=0.148
max-steps=140, normalizer=0.0001, mix-up=100, acc=0.883, c_prim=c=0.151
max-steps=140, normalizer=0.0001, mix-up=150, acc=0.889, c_prim=c=0.146
max-steps=140, normalizer=0.0001, mix-up=200, acc=0.883, c_prim=c=0.154
max-steps=140, normalizer=0.0001, mix-up=250, acc=0.876, c_prim=c=0.157
max-steps=140, normalizer=0.0001, mix-up=300, acc=0.872, c_prim=c=0.165
max-steps=140, normalizer=0.001, mix-up=19, acc=0.895, c_prim=c=0.138
max-steps=140, normalizer=0.001, mix-up=50, acc=0.895, c_prim=c=0.138
max-steps=140, normalizer=0.001, mix-up=100, acc=0.895, c_prim=c=0.138
max-steps=140, normalizer=0.001, mix-up=150, acc=0.894, c_prim=c=0.139
max-steps=140, normalizer=0.001, mix-up=200, acc=0.890, c_prim=c=0.144
max-steps=140, normalizer=0.001, mix-up=250, acc=0.896, c_prim=c=0.138
max-steps=140, normalizer=0.001, mix-up=300, acc=0.894, c_prim=c=0.140
max-steps=140, normalizer=0.01, mix-up=19, acc=0.890, c_prim=c=0.147
max-steps=140, normalizer=0.01, mix-up=50, acc=0.890, c_prim=c=0.147
max-steps=140, normalizer=0.01, mix-up=100, acc=0.890, c_prim=c=0.148
max-steps=140, normalizer=0.01, mix-up=150, acc=0.890, c_prim=c=0.147
max-steps=140, normalizer=0.01, mix-up=200, acc=0.890, c_prim=c=0.148
max-steps=140, normalizer=0.01, mix-up=250, acc=0.890, c_prim=c=0.147
max-steps=140, normalizer=0.01, mix-up=300, acc=0.890, c_prim=c=0.148
max-steps=160, normalizer=0, mix-up=19, acc=0.870, c_prim=c=0.170
max-steps=160, normalizer=0, mix-up=50, acc=0.879, c_prim=c=0.159
max-steps=160, normalizer=0, mix-up=100, acc=0.879, c_prim=c=0.160
max-steps=160, normalizer=0, mix-up=150, acc=0.880, c_prim=c=0.158
max-steps=160, normalizer=0, mix-up=200, acc=0.883, c_prim=c=0.156
max-steps=160, normalizer=0, mix-up=250, acc=0.871, c_prim=c=0.167
max-steps=160, normalizer=0, mix-up=300, acc=0.885, c_prim=c=0.151
max-steps=160, normalizer=0.00001, mix-up=19, acc=0.877, c_prim=c=0.160
max-steps=160, normalizer=0.00001, mix-up=50, acc=0.883, c_prim=c=0.152
max-steps=160, normalizer=0.00001, mix-up=100, acc=0.885, c_prim=c=0.149
max-steps=160, normalizer=0.00001, mix-up=150, acc=0.874, c_prim=c=0.161
max-steps=160, normalizer=0.00001, mix-up=200, acc=0.881, c_prim=c=0.153
max-steps=160, normalizer=0.00001, mix-up=250, acc=0.880, c_prim=c=0.155
max-steps=160, normalizer=0.00001, mix-up=300, acc=0.878, c_prim=c=0.157
max-steps=160, normalizer=0.0001, mix-up=19, acc=0.885, c_prim=c=0.151
max-steps=160, normalizer=0.0001, mix-up=50, acc=0.891, c_prim=c=0.143
max-steps=160, normalizer=0.0001, mix-up=100, acc=0.890, c_prim=c=0.144
max-steps=160, normalizer=0.0001, mix-up=150, acc=0.890, c_prim=c=0.144
max-steps=160, normalizer=0.0001, mix-up=200, acc=0.886, c_prim=c=0.150
max-steps=160, normalizer=0.0001, mix-up=250, acc=0.889, c_prim=c=0.145
max-steps=160, normalizer=0.0001, mix-up=300, acc=0.879, c_prim=c=0.159
max-steps=160, normalizer=0.001, mix-up=19, acc=0.895, c_prim=c=0.138
max-steps=160, normalizer=0.001, mix-up=50, acc=0.895, c_prim=c=0.138
max-steps=160, normalizer=0.001, mix-up=100, acc=0.895, c_prim=c=0.138
max-steps=160, normalizer=0.001, mix-up=150, acc=0.894, c_prim=c=0.139
max-steps=160, normalizer=0.001, mix-up=200, acc=0.895, c_prim=c=0.138
max-steps=160, normalizer=0.001, mix-up=250, acc=0.896, c_prim=c=0.137
max-steps=160, normalizer=0.001, mix-up=300, acc=0.896, c_prim=c=0.138
max-steps=160, normalizer=0.01, mix-up=19, acc=0.890, c_prim=c=0.147
max-steps=160, normalizer=0.01, mix-up=50, acc=0.890, c_prim=c=0.147
max-steps=160, normalizer=0.01, mix-up=100, acc=0.890, c_prim=c=0.147
max-steps=160, normalizer=0.01, mix-up=150, acc=0.890, c_prim=c=0.147
max-steps=160, normalizer=0.01, mix-up=200, acc=0.890, c_prim=c=0.147
max-steps=160, normalizer=0.01, mix-up=250, acc=0.890, c_prim=c=0.148
max-steps=160, normalizer=0.01, mix-up=300, acc=0.890, c_prim=c=0.148
max-steps=180, normalizer=0, mix-up=19, acc=0.876, c_prim=c=0.165
max-steps=180, normalizer=0, mix-up=50, acc=0.883, c_prim=c=0.155
max-steps=180, normalizer=0, mix-up=100, acc=0.877, c_prim=c=0.159
max-steps=180, normalizer=0, mix-up=150, acc=0.873, c_prim=c=0.166
max-steps=180, normalizer=0, mix-up=200, acc=0.879, c_prim=c=0.157
max-steps=180, normalizer=0, mix-up=250, acc=0.880, c_prim=c=0.158
max-steps=180, normalizer=0, mix-up=300, acc=0.879, c_prim=c=0.158
max-steps=180, normalizer=0.00001, mix-up=19, acc=0.878, c_prim=c=0.159
max-steps=180, normalizer=0.00001, mix-up=50, acc=0.879, c_prim=c=0.157
max-steps=180, normalizer=0.00001, mix-up=100, acc=0.878, c_prim=c=0.158
max-steps=180, normalizer=0.00001, mix-up=150, acc=0.883, c_prim=c=0.152
max-steps=180, normalizer=0.00001, mix-up=200, acc=0.881, c_prim=c=0.155
max-steps=180, normalizer=0.00001, mix-up=250, acc=0.879, c_prim=c=0.156
max-steps=180, normalizer=0.00001, mix-up=300, acc=0.880, c_prim=c=0.156
max-steps=180, normalizer=0.0001, mix-up=19, acc=0.888, c_prim=c=0.148
max-steps=180, normalizer=0.0001, mix-up=50, acc=0.891, c_prim=c=0.143
max-steps=180, normalizer=0.0001, mix-up=100, acc=0.890, c_prim=c=0.146
max-steps=180, normalizer=0.0001, mix-up=150, acc=0.887, c_prim=c=0.148
max-steps=180, normalizer=0.0001, mix-up=200, acc=0.887, c_prim=c=0.148
max-steps=180, normalizer=0.0001, mix-up=250, acc=0.882, c_prim=c=0.156
max-steps=180, normalizer=0.0001, mix-up=300, acc=0.889, c_prim=c=0.147
max-steps=180, normalizer=0.001, mix-up=19, acc=0.895, c_prim=c=0.138
max-steps=180, normalizer=0.001, mix-up=50, acc=0.895, c_prim=c=0.139
max-steps=180, normalizer=0.001, mix-up=100, acc=0.895, c_prim=c=0.138
max-steps=180, normalizer=0.001, mix-up=150, acc=0.894, c_prim=c=0.139
max-steps=180, normalizer=0.001, mix-up=200, acc=0.896, c_prim=c=0.137
max-steps=180, normalizer=0.001, mix-up=250, acc=0.896, c_prim=c=0.138
max-steps=180, normalizer=0.001, mix-up=300, acc=0.895, c_prim=c=0.138
max-steps=180, normalizer=0.01, mix-up=19, acc=0.890, c_prim=c=0.147
max-steps=180, normalizer=0.01, mix-up=50, acc=0.890, c_prim=c=0.147
max-steps=180, normalizer=0.01, mix-up=100, acc=0.890, c_prim=c=0.147
max-steps=180, normalizer=0.01, mix-up=150, acc=0.890, c_prim=c=0.148
max-steps=180, normalizer=0.01, mix-up=200, acc=0.890, c_prim=c=0.147
max-steps=180, normalizer=0.01, mix-up=250, acc=0.890, c_prim=c=0.148
max-steps=180, normalizer=0.01, mix-up=300, acc=0.890, c_prim=c=0.148
max-steps=200, normalizer=0, mix-up=19, acc=0.874, c_prim=c=0.171
max-steps=200, normalizer=0, mix-up=50, acc=0.868, c_prim=c=0.172
max-steps=200, normalizer=0, mix-up=100, acc=0.869, c_prim=c=0.168
max-steps=200, normalizer=0, mix-up=150, acc=0.871, c_prim=c=0.166
max-steps=200, normalizer=0, mix-up=200, acc=0.866, c_prim=c=0.173
max-steps=200, normalizer=0, mix-up=250, acc=0.856, c_prim=c=0.184
max-steps=200, normalizer=0, mix-up=300, acc=0.874, c_prim=c=0.163
max-steps=200, normalizer=0.00001, mix-up=19, acc=0.880, c_prim=c=0.158
max-steps=200, normalizer=0.00001, mix-up=50, acc=0.886, c_prim=c=0.149
max-steps=200, normalizer=0.00001, mix-up=100, acc=0.885, c_prim=c=0.152
max-steps=200, normalizer=0.00001, mix-up=150, acc=0.885, c_prim=c=0.152
max-steps=200, normalizer=0.00001, mix-up=200, acc=0.880, c_prim=c=0.157
max-steps=200, normalizer=0.00001, mix-up=250, acc=0.872, c_prim=c=0.164
max-steps=200, normalizer=0.00001, mix-up=300, acc=0.887, c_prim=c=0.148
max-steps=200, normalizer=0.0001, mix-up=19, acc=0.888, c_prim=c=0.147
max-steps=200, normalizer=0.0001, mix-up=50, acc=0.889, c_prim=c=0.144
max-steps=200, normalizer=0.0001, mix-up=100, acc=0.887, c_prim=c=0.147
max-steps=200, normalizer=0.0001, mix-up=150, acc=0.888, c_prim=c=0.146
max-steps=200, normalizer=0.0001, mix-up=200, acc=0.886, c_prim=c=0.148
max-steps=200, normalizer=0.0001, mix-up=250, acc=0.884, c_prim=c=0.150
max-steps=200, normalizer=0.0001, mix-up=300, acc=0.889, c_prim=c=0.146
max-steps=200, normalizer=0.001, mix-up=19, acc=0.895, c_prim=c=0.138
max-steps=200, normalizer=0.001, mix-up=50, acc=0.895, c_prim=c=0.138
max-steps=200, normalizer=0.001, mix-up=100, acc=0.895, c_prim=c=0.138
max-steps=200, normalizer=0.001, mix-up=150, acc=0.896, c_prim=c=0.137
max-steps=200, normalizer=0.001, mix-up=200, acc=0.895, c_prim=c=0.139
